marca_possivel,marca_normalizada,categorias_nao_genericas,laboratorios,quantidade_apresentacoes,tambem_aparece_como_generico
TRIAXTON,TRIAXTON,Similar,BLAU FARMACEUTICA S.A.,3,nao
TRIAZOL,TRIAZOL,Similar,BIOLAB SANUS FARMACEUTICA LTDA,3,nao
TRICIT,TRICIT,Específico,EUROFARMA LABORATORIOS S.A.,1,nao
TRICOMAX,TRICOMAX,Similar,CAZI QUIMICA FARMACEUTICA INDUSTRIA E COMERCIO LTDA,1,nao
TRICORTID,TRICORTID,Similar,PHARLAB INDÚSTRIA FARMACÊUTICA S.A.,3,nao
TRIDIL,TRIDIL,Similar,CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.,2,nao
TRIFAMOX,TRIFAMOX,Novo,LABORATÓRIOS BAGÓ DO BRASIL S/A,11,nao
TRIKAFTA,TRIKAFTA,Novo,VERTEX FARMACEUTICA DO BRASIL LTDA.,4,nao
TRILAX,TRILAX,Similar,SANDOZ DO BRASIL INDÚSTRIA FARMACÊUTICA LTDA,2,nao
TRILEPTAL,TRILEPTAL,Novo,NOVARTIS BIOCIENCIAS S.A,6,nao
TRIMBOW,TRIMBOW,Novo,CHIESI FARMACÊUTICA LTDA,2,nao
TRIMEB,TRIMEB,Similar,EUROFARMA LABORATORIOS S.A.,3,nao
TRIMEXIUM,TRIMEXIUM,Similar,EMS S/A,3,nao
TRIMUSK,TRIMUSK,Similar,EUROFARMA LABORATORIOS S.A.,3,nao
TRINODAZOL,TRINODAZOL,Similar,GEOLAB INDÚSTRIA FARMACÊUTICA S/A,1,nao
TRINODAZOL NISTATINA,TRINODAZOL NISTATINA,Similar,GEOLAB INDÚSTRIA FARMACÊUTICA S/A,1,nao
TRINULOX,TRINULOX,Similar,EMS S/A,1,nao
TRIPLENEX,TRIPLENEX,Novo,ALLERGAN PRODUTOS FARMACÊUTICOS LTDA,1,nao
TRIPLIXAM,TRIPLIXAM,Novo,LABORATORIOS SERVIER DO BRASIL LTDA,7,nao
TRIPLOA,TRIPLOA,Similar,SUPERA FARMA LABORATÓRIOS S.A,2,nao
TRIQUILAR,TRIQUILAR,Novo,UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A,2,nao
TRIRUBIN,TRIRUBIN,Específico,UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A,4,nao
TRISENOX,TRISENOX,Novo,TEVA FARMACÊUTICA LTDA.,2,nao
TRISK,TRISK,Similar,EUROFARMA LABORATORIOS S.A.,1,nao
TRISORB,TRISORB,Específico,NOVARTIS BIOCIENCIAS S.A,1,nao
TRIUMEQ,TRIUMEQ,Novo,GLAXOSMITHKLINE BRASIL LTDA,1,nao
TRIVAGEL N,TRIVAGEL N,Similar,MARJAN INDÚSTRIA E COMÉRCIO LTDA,1,nao
TRODELVY,TRODELVY,Biológico,GILEAD SCIENCES FARMACEUTICA DO BRASIL LTDA,1,nao
TROK,TROK,Similar,EUROFARMA LABORATORIOS S.A.,4,nao
TROK-G,TROK G,Similar,EUROFARMA LABORATORIOS S.A.,3,nao
TROK-N,TROK N,Similar,EUROFARMA LABORATORIOS S.A.,4,nao
TROL,TROL,Similar,SUPERA FARMA LABORATÓRIOS S.A,1,nao
TROL PAR,TROL PAR,Similar,SUPERA FARMA LABORATÓRIOS S.A,2,nao
TROMBOFOB GEL,TROMBOFOB GEL,Biológico,ABBOTT LABORATORIOS DO BRASIL LTDA,1,nao
TROMIZIR,TROMIZIR,Similar,BELFAR LTDA,2,nao
TROPINAL,TROPINAL,Similar,EMS SIGMA PHARMA LTDA,2,nao
TRULICITY,TRULICITY,Biológico,ELI LILLY DO BRASIL LTDA,2,nao
TRUMENBA,TRUMENBA,Biológico,PFIZER BRASIL LTDA,1,nao
TRUQAP,TRUQAP,Novo,ASTRAZENECA DO BRASIL LTDA,2,nao
TRUVADA,TRUVADA,Novo,GILEAD SCIENCES FARMACEUTICA DO BRASIL LTDA,1,nao
TRUXIMA,TRUXIMA,Biológico,CELLTRION HEALTHCARE DISTRIBUICAO DE PRODUTOS FARMACEUTICOS DOS BRASIL LTDA,2,nao
TRYNDÊ,TRYNDE,Específico,ALTHAIA S.A. INDUSTRIA FARMACEUTICA,21,nao
TUA D3,TUA D3,Específico,LABORATORIO TEUTO BRASILEIRO S/A,3,nao
TUNTÁ,TUNTA,Similar,EUROFARMA LABORATORIOS S.A.,1,nao
TURNO,TURNO,Similar,EUROFARMA LABORATORIOS S.A.,1,nao
TURNO SL,TURNO SL,Similar,EUROFARMA LABORATORIOS S.A.,1,nao
TURNO XR,TURNO XR,Similar,EUROFARMA LABORATORIOS S.A.,2,nao
TUXYN,TUXYN,Biológico,BIONOVIS S.A. - COMPANHIA BRASILEIRA DE BIOTECNOLOGIA FARMACEUTICA,2,nao
TWINRIX,TWINRIX,Novo,GLAXOSMITHKLINE BRASIL LTDA,1,nao
TYENNE,TYENNE,Biológico,FRESENIUS KABI BRASIL LTDA,12,nao
TYG,TYG,Similar,UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A,1,nao
TYGACIL,TYGACIL,Novo,PFIZER BRASIL LTDA,1,nao
TYKERB,TYKERB,Novo,NOVARTIS BIOCIENCIAS S.A,1,nao
TYKITICIP,TYKITICIP,Similar,CIPLA BRASIL IMPORTADORA E DISTRIBUIDORA DE MEDICAMENTOS LTDA,1,nao
TYLAFLEX,TYLAFLEX,Similar,MEDQUIMICA INDUSTRIA FARMACEUTICA LTDA.,1,nao
TYLALGIN,TYLALGIN,Similar,GEOLAB INDÚSTRIA FARMACÊUTICA S/A,3,nao
TYLALGIN CAF,TYLALGIN CAF,Similar,GEOLAB INDÚSTRIA FARMACÊUTICA S/A,2,nao
TYLEMAX,TYLEMAX,Similar,NATULAB LABORATORIO S.A,5,nao
TYLENOL,TYLENOL,Novo,JANSSEN-CILAG FARMACEUTICA LTDA | KENVUE LTDA.,14,nao
TYLENOL DC,TYLENOL DC,Novo,JANSSEN-CILAG FARMACEUTICA LTDA | KENVUE LTDA.,5,nao
TYLENOL SINUS,TYLENOL SINUS,Novo,KENVUE LTDA.,2,nao
TYLEX,TYLEX,Novo,CELLERA FARMACEUTICA S.A.,4,nao
TYLIDOL,TYLIDOL,Similar,LABORATORIO TEUTO BRASILEIRO S/A,1,nao
TYNNA,TYNNA,Similar,SUPERA FARMA LABORATÓRIOS S.A,3,nao
TYPHIM VI,TYPHIM VI,Biológico,SANOFI MEDLEY FARMACÊUTICA LTDA.,1,nao
TYSABRI,TYSABRI,Biológico,BIOGEN BRASIL PRODUTOS FARMACEUTICOS LTDA,1,nao
TZIELD®,TZIELD,Biológico,SANOFI MEDLEY FARMACÊUTICA LTDA.,1,nao
ULCTAM,ULCTAM,Similar,LABORATORIO TEUTO BRASILEIRO S/A,2,nao
ULTIBRO,ULTIBRO,Novo,NOVARTIS BIOCIENCIAS S.A,1,nao
ULTIVA,ULTIVA,Novo,ASPEN PHARMA INDÚSTRIA FARMACÊUTICA LTDA,2,nao
ULTOMIRIS,ULTOMIRIS,Biológico,ALEXION SERVICOS E FARMACEUTICA DO BRASIL LTDA | ASTRAZENECA DO BRASIL LTDA,6,nao
ULTRACET,ULTRACET,Novo,JANSSEN-CILAG FARMACEUTICA LTDA,3,nao
ULTRAFER,ULTRAFER,Específico,FARMOQUÍMICA S/A,3,nao
ULTRAPROCT LDO,ULTRAPROCT LDO,Novo,MOKSHA8 BRASIL INDUSTRIA E COMERCIO DE MEDICAMENTOS LTDA,1,nao
ULTRAVIST,ULTRAVIST,Novo,BAYER S.A.,8,nao
ULTROX,ULTROX,Similar,SUPERA FARMA LABORATÓRIOS S.A,3,nao
UMAN ALBUMIN,UMAN ALBUMIN,Biológico,KEDRION BRASIL LTDA.,2,nao
UMMA,UMMA,Similar,COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.,1,nao
UNAK,UNAK,Similar,DIFFUCAP - CHEMOBRÁS QUÍMICA E FARMACÊUTICA LTDA,3,nao
UNHA SANA,UNHA SANA,Similar,KLEY HERTZ FARMACEUTICA S.A,1,nao
UNI-CARBAMAZ,UNI CARBAMAZ,Similar,UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A,2,nao
UNI-DIAZEPAX,UNI DIAZEPAX,Similar,UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A,3,nao
UNI HALOPER,UNI HALOPER,Similar,UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A,2,nao
UNI-VIR,UNI VIR,Similar,UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A,3,nao
UNIAIR,UNIAIR,Similar,GEOLAB INDÚSTRIA FARMACÊUTICA S/A,5,nao
UNIANORA,UNIANORA,Similar,UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A,1,nao
UNICLARIN,UNICLARIN,Similar,UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A,1,nao
UNIDEXA,UNIDEXA,Similar,UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A,2,nao
UNIFEDRINE,UNIFEDRINE,Similar,UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A,1,nao
UNIFENTAL,UNIFENTAL,Similar,UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A,3,nao
UNIFLU,UNIFLU,Similar,UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A,3,nao
UNIGYN,UNIGYN,Similar,EMS SIGMA PHARMA LTDA,2,nao
UNIMEDROL,UNIMEDROL,Similar,UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A,2,nao
UNINALTREX,UNINALTREX,Similar,UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A,2,nao
UNIPRAZOL,UNIPRAZOL,Similar,UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A,4,nao
UNIREZ,UNIREZ,Similar,UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A,1,nao
UNITIDAZIN,UNITIDAZIN,Similar,UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A,2,nao
UNITRAM,UNITRAM,Similar,FARMOQUÍMICA S/A,10,nao
UNIZINCO,UNIZINCO,Específico,MYRALIS INDUSTRIA FARMACEUTICA LTDA,1,nao
UNIZINCO COMPRIMIDO,UNIZINCO COMPRIMIDO,Específico,MYRALIS INDUSTRIA FARMACEUTICA LTDA,1,nao
UNOPROST,UNOPROST,Similar,APSEN FARMACEUTICA S/A,3,nao
UNTRAL,UNTRAL,Específico,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A,3,nao
UNYCA,UNYCA,Similar,COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.,1,nao
UPELIOR,UPELIOR,Novo,RECORDATI RARE DISEASES COMÉRCIO DE MEDICAMENTOS LTDA - ME,2,nao
UPLIZNA,UPLIZNA,Biológico,AMGEN BIOTECNOLOGIA DO BRASIL LTDA. | HORIZON THERAPEUTICS BRASIL LTDA.,2,nao
UPTRAVI,UPTRAVI,Novo,JANSSEN-CILAG FARMACEUTICA LTDA,9,nao
URBANIL,URBANIL,Novo,PHARLAB INDÚSTRIA FARMACÊUTICA S.A.,2,nao
URCIP,URCIP,Similar,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A,2,nao
UREADIN,UREADIN,Novo,SANOFI MEDLEY FARMACÊUTICA LTDA.,1,nao
URO-VAXOM,URO VAXOM,Biológico,APSEN FARMACEUTICA S/A,2,nao
UROCTRIN,UROCTRIN,Novo,LEGRAND PHARMA INDUSTRIA FARMACEUTICA LTDA,1,nao
UROHIPE,UROHIPE,Biológico,UNO HEALTHCARE COMÉRCIO DE MEDICAMENTOS LTDA.,1,nao
UROTROBEL,UROTROBEL,Similar,BELFAR LTDA,3,nao
URSACOL,URSACOL,Novo,ZAMBON LABORATÓRIOS FARMACÊUTICOS LTDA.,3,nao
USOLEG,USOLEG,Similar,LEGRAND PHARMA INDUSTRIA FARMACEUTICA LTDA,4,nao
UTROGESTAN,UTROGESTAN,Novo,BESINS HEALTHCARE BRASIL COMERCIAL E DISTRIBUIDORA DE MEDICAMENTOS LTDA,3,nao
V-GRIPE,V GRIPE,Similar,EUROFARMA LABORATORIOS S.A.,2,nao
V-TOSSE,V TOSSE,Fitoterápico,EUROFARMA LABORATORIOS S.A.,1,nao
VABAM,VABAM,Similar,COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.,9,nao
VABYSMO,VABYSMO,Biológico,PRODUTOS ROCHE QUÍMICOS E FARMACÊUTICOS S.A.,1,nao
VACINA ADSORVIDA DIFTERIA E TÉTANO ADULTO (DT),VACINA ADSORVIDA DIFTERIA E TETANO ADULTO DT,Biológico,INSTITUTO BUTANTAN,1,nao
VACINA ADSORVIDA DIFTERIA E TÉTANO INFANTIL (DT),VACINA ADSORVIDA DIFTERIA E TETANO INFANTIL DT,Biológico,INSTITUTO BUTANTAN,1,nao
"VACINA ADSORVIDA DIFTERIA, TÉTANO E PERTUSSIS",VACINA ADSORVIDA DIFTERIA TETANO E PERTUSSIS,Biológico,INSTITUTO BUTANTAN,1,nao
"VACINA ADSORVIDA DIFTERIA, TÉTANO E PERTUSSIS (ACELULAR)",VACINA ADSORVIDA DIFTERIA TETANO E PERTUSSIS ACELULAR,Biológico,INSTITUTO BUTANTAN,2,nao
VACINA ADSORVIDA HEPATITE A (INATIVADA),VACINA ADSORVIDA HEPATITE A INATIVADA,Biológico,INSTITUTO BUTANTAN,1,nao
VACINA ADSORVIDA HEPATITE B (RECOMBINANTE),VACINA ADSORVIDA HEPATITE B RECOMBINANTE,Biológico,INSTITUTO BUTANTAN,1,nao
VACINA ADSORVIDA MENINGOCÓCICA C (CONJUGADA),VACINA ADSORVIDA MENINGOCOCICA C CONJUGADA,Biológico,FUNDAÇÃO EZEQUIEL DIAS - FUNED,9,nao
VACINA BCG,VACINA BCG,Biológico,UNO HEALTHCARE COMÉRCIO DE MEDICAMENTOS LTDA.,2,nao
VACINA COVID-19 (RECOMBINANTE),VACINA COVID 19 RECOMBINANTE,Biológico,FUNDACAO OSWALDO CRUZ | ZALIKA FARMACEUTICA LTDA,5,nao
VACINA DO VÍRUS SINCICIAL RESPIRATÓRIO BIVALENTE (RECOMBINANTE),VACINA DO VIRUS SINCICIAL RESPIRATORIO BIVALENTE RECOMBINANTE,Biológico,INSTITUTO BUTANTAN,4,nao
VACINA FEBRE AMARELA (ATENUADA),VACINA FEBRE AMARELA ATENUADA,Novo,FUNDACAO OSWALDO CRUZ,2,nao
VACINA HAEMOPHILUS INFLUENZAE B (CONJUGADA),VACINA HAEMOPHILUS INFLUENZAE B CONJUGADA,Biológico,FUNDACAO OSWALDO CRUZ | SANOFI MEDLEY FARMACÊUTICA LTDA.,2,nao
"VACINA INFLUENZA TETRAVALENTE (FRAGMENTADA, INATIVADA) SÊNIOR",VACINA INFLUENZA TETRAVALENTE FRAGMENTADA INATIVADA SENIOR,Biológico,INSTITUTO BUTANTAN,1,nao
VACINA INFLUENZA TRIVALENTE ( FRAGMENTADA E INATIVADA ),VACINA INFLUENZA TRIVALENTE FRAGMENTADA E INATIVADA,Novo,INSTITUTO BUTANTAN,4,nao
"VACINA INFLUENZA TRIVALENTE (FRAGMENTADA, INATIVADA) SÊNIOR",VACINA INFLUENZA TRIVALENTE FRAGMENTADA INATIVADA SENIOR,Biológico,INSTITUTO BUTANTAN,1,nao
VACINA MENINGOCÓCICA ACWY (CONJUGADA),VACINA MENINGOCOCICA ACWY CONJUGADA,Biológico,FUNDACAO OSWALDO CRUZ | FUNDAÇÃO EZEQUIEL DIAS - FUNED | INSTITUTO BUTANTAN,5,nao
"VACINA PAPILOMAVIRUS HUMANO 6, 11, 16 E 18 (RECOMBINANTE)",VACINA PAPILOMAVIRUS HUMANO 6 11 16 E 18 RECOMBINANTE,Biológico,INSTITUTO BUTANTAN,1,nao
VACINA PNEUMOCÓCICA 10-VALENTE (CONJUGADA),VACINA PNEUMOCOCICA 10 VALENTE CONJUGADA,Biológico,FUNDACAO OSWALDO CRUZ,3,nao
"VACINA POLIOMIELITE 1, 2 E 3 (INATIVADA)",VACINA POLIOMIELITE 1 2 E 3 INATIVADA,Biológico,FUNDACAO OSWALDO CRUZ,1,nao
VACINA POLIOMIELITE 1 E 3 (ATENUADA),VACINA POLIOMIELITE 1 E 3 ATENUADA,Biológico,FUNDACAO OSWALDO CRUZ,1,nao
VACINA RAIVA(INATIVADA),VACINA RAIVA INATIVADA,Biológico,INSTITUTO BUTANTAN | SANOFI MEDLEY FARMACÊUTICA LTDA.,7,nao
VACINA RECOMBINANTE CONTRA HEPATITE B,VACINA RECOMBINANTE CONTRA HEPATITE B,Novo,INSTITUTO BUTANTAN,1,nao
VACINA ROTAVÍRUS HUMANO G1P[8] (ATENUADA),VACINA ROTAVIRUS HUMANO G1P 8 ATENUADA,Biológico,FUNDACAO OSWALDO CRUZ,1,nao
"VACINA SARAMPO, CAXUMBA, RUBÉOLA (ATENUADA)",VACINA SARAMPO CAXUMBA RUBEOLA ATENUADA,Biológico,FUNDACAO OSWALDO CRUZ,1,nao
"VACINA SARAMPO, CAXUMBA, RUBÉOLA E VARICELA (ATENUADA)",VACINA SARAMPO CAXUMBA RUBEOLA E VARICELA ATENUADA,Biológico,FUNDACAO OSWALDO CRUZ,2,nao
VACINA VARICELA (ATENUADA),VACINA VARICELA ATENUADA,Biológico,INSTITUTO BUTANTAN,2,nao
VAGI C,VAGI C,Específico,MARJAN INDÚSTRIA E COMÉRCIO LTDA,1,nao
VAGICAND,VAGICAND,Similar,SUPERA FARMA LABORATÓRIOS S.A,1,nao
VAGIFEM,VAGIFEM,Novo,BESINS HEALTHCARE BRASIL COMERCIAL E DISTRIBUIDORA DE MEDICAMENTOS LTDA,1,nao
VALASKI,VALASKI,Similar,SUPERA FARMA LABORATÓRIOS S.A,2,nao
VALCYTE,VALCYTE,Novo,BIOPAS BRASIL PRODUTOS FARMACEUTICOS LTDA,1,nao
VALDOXAN,VALDOXAN,Novo,LABORATORIOS SERVIER DO BRASIL LTDA,3,nao
VALERANCE,VALERANCE,Fitoterápico,LABORATÓRIO FARMACÊUTICO ELOFAR LTDA,1,nao
VALERIANE,VALERIANE,Fitoterápico,ZYDUS NIKKHO FARMACÊUTICA LTDA,1,nao
VALERIMED,VALERIMED,Fitoterápico,CIMED INDUSTRIA S.A,1,nao
VALERINATI,VALERINATI,Fitoterápico,PHARMASCIENCE INDUSTRIA FARMACEUTICA S.A,1,nao
VALESSONE,VALESSONE,Fitoterápico,NATULAB LABORATORIO S.A,3,nao
VALIUM,VALIUM,Novo,BELFAR LTDA,2,nao
VALPI,VALPI,Similar,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A,1,nao
VALSED,VALSED,Fitoterápico,CIFARMA CIENTÍFICA FARMACÊUTICA LTDA,2,nao
VALTREX,VALTREX,Novo,GLAXOSMITHKLINE BRASIL LTDA,2,nao
VALYANNE,VALYANNE,Fitoterápico,GEOLAB INDÚSTRIA FARMACÊUTICA S/A,2,nao
VANCOCINA CP,VANCOCINA CP,Novo,ANTIBIÓTICOS DO BRASIL LTDA,3,nao
VANCOSON,VANCOSON,Similar,BLAU FARMACEUTICA S.A.,5,nao
VANCOTRAT,VANCOTRAT,Similar,UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A,1,nao
VANISTO,VANISTO,Novo,GLAXOSMITHKLINE BRASIL LTDA,2,nao
VANLURE,VANLURE,Similar,EUROFARMA LABORATORIOS S.A.,2,nao
VANNAIR,VANNAIR,Novo,ASTRAZENECA DO BRASIL LTDA,2,nao
VANTIL,VANTIL,Similar,1FARMA INDUSTRIA FARMACEUTICA LTDA,1,nao
VAQTA,VAQTA,Novo,MERCK SHARP & DOHME FARMACEUTICA LTDA. | ORGANON FARMACEUTICA LTDA.,5,nao
VARICAPS AH,VARICAPS AH,Fitoterápico,KLEY HERTZ FARMACEUTICA S.A,1,nao
VARICELL PHYTO,VARICELL PHYTO,Fitoterápico,VIDFARMA INDÚSTRIA DE MEDICAMENTOS LTDA,1,nao
VARICOSS,VARICOSS,Específico,CIFARMA CIENTÍFICA FARMACÊUTICA LTDA,2,nao
VARIFLUX,VARIFLUX,Específico,CIFARMA CIENTÍFICA FARMACÊUTICA LTDA,3,nao
VARILESS BIONATUS,VARILESS BIONATUS,Fitoterápico,BIONATUS LABORATÓRIO BOTÂNICO LTDA,1,nao
VARILRIX,VARILRIX,Novo,GLAXOSMITHKLINE BRASIL LTDA,2,nao
VARISBEM,VARISBEM,Fitoterápico,VIDORA FARMACEUTICA LTDA,2,nao
VARIVAX,VARIVAX,Biológico | Fitoterápico,MERCK SHARP & DOHME FARMACEUTICA LTDA. | NATULAB LABORATORIO S.A,4,nao
VARTAZ,VARTAZ,Similar,EUROFARMA LABORATORIOS S.A.,6,nao
VARYLIFT,VARYLIFT,Específico,UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A,4,nao
VASCOR MR,VASCOR MR,Similar,EUROFARMA LABORATORIOS S.A.,3,nao
VASIFIL,VASIFIL,Similar,MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA,2,nao
VASLIP,VASLIP,Similar,BIOLAB SANUS FARMACEUTICA LTDA,4,nao
VASOGARD,VASOGARD,Similar,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A,6,nao
VASOPRIL,VASOPRIL,Similar,BIOLAB SANUS FARMACEUTICA LTDA,5,nao
VASOPRIL PLUS,VASOPRIL PLUS,Similar,BIOLAB SANUS FARMACEUTICA LTDA,4,nao
VAST,VAST,Similar,EUROFARMA LABORATORIOS S.A.,3,nao
VASTAREL,VASTAREL,Novo,LABORATORIOS SERVIER DO BRASIL LTDA,2,nao
VASTAREL CAPS LP,VASTAREL CAPS LP,Novo,LABORATORIOS SERVIER DO BRASIL LTDA,2,nao
VASTIGMA,VASTIGMA,Similar,EMS SIGMA PHARMA LTDA,2,nao
VASTONIC,VASTONIC,Específico,MAKROFARMA QUIMICA FARMACEUTICA LTDA,2,nao
VATIS,VATIS,Novo | Similar,LIBBS FARMACÊUTICA LTDA,6,nao
VAXIGRIP ®,VAXIGRIP,Biológico,SANOFI MEDLEY FARMACÊUTICA LTDA.,1,nao
VAXIGRIP TETRA,VAXIGRIP TETRA,Biológico,SANOFI MEDLEY FARMACÊUTICA LTDA.,7,nao
VAXNEUVANCE,VAXNEUVANCE,Biológico,MERCK SHARP & DOHME FARMACEUTICA LTDA.,2,nao
VAZIDIN,VAZIDIN,Similar,PHARLAB INDÚSTRIA FARMACÊUTICA S.A.,2,nao
VAZULI,VAZULI,Similar,PRATI DONADUZZI & CIA LTDA,15,nao
VAZY,VAZY,Similar,EMS SIGMA PHARMA LTDA,2,nao
VEAC,VEAC,Similar,EUROFARMA LABORATORIOS S.A.,2,nao
VECANDE,VECANDE,Similar,GERMED FARMACEUTICA LTDA,9,nao
VECASTEN,VECASTEN,Fitoterápico,MARJAN INDÚSTRIA E COMÉRCIO LTDA,3,nao
VECTIBIX,VECTIBIX,Biológico,AMGEN BIOTECNOLOGIA DO BRASIL LTDA.,1,nao
VECURON,VECURON,Similar,CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.,2,nao
VEEPI,VEEPI,Similar,TORRENT DO BRASIL LTDA,11,nao
VEGAPALI,VEGAPALI,Similar,ADIUM S.A.,12,nao
VEGZELMA,VEGZELMA,Biológico,CELLTRION HEALTHCARE DISTRIBUICAO DE PRODUTOS FARMACEUTICOS DOS BRASIL LTDA,2,nao
VEKLURY®,VEKLURY,Novo,GILEAD SCIENCES FARMACEUTICA DO BRASIL LTDA,1,nao
VELAMOX,VELAMOX,Similar,EMS SIGMA PHARMA LTDA,2,nao
VELAMOX BD,VELAMOX BD,Similar,EMS SIGMA PHARMA LTDA,2,nao
VELCADE,VELCADE,Novo,JANSSEN-CILAG FARMACEUTICA LTDA,1,nao
VELENAXOL,VELENAXOL,Similar,SANDOZ DO BRASIL INDÚSTRIA FARMACÊUTICA LTDA,1,nao
VELIJA,VELIJA,Similar,LIBBS FARMACÊUTICA LTDA,6,nao
VELLANA,VELLANA,Similar,CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.,3,nao
VELUNID,VELUNID,Específico,COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.,2,nao
VEMLIDY,VEMLIDY,Novo,GILEAD SCIENCES FARMACEUTICA DO BRASIL LTDA,1,nao
VENAFLON,VENAFLON,Específico,LABORATORIO TEUTO BRASILEIRO S/A,6,nao
VENALOT,VENALOT,Específico,COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.,3,nao
VENCLEXTA,VENCLEXTA,Novo,ABBVIE FARMACÊUTICA LTDA.,4,nao
VENDEXLA,VENDEXLA,Similar,EUROFARMA LABORATORIOS S.A.,3,nao
VENFORIN,VENFORIN,Similar,EMS SIGMA PHARMA LTDA,3,nao
VENLAXIN XR,VENLAXIN XR,Similar,EUROFARMA LABORATORIOS S.A.,8,nao
VENLIFT OD,VENLIFT OD,Similar,TORRENT DO BRASIL LTDA,7,nao
VENOCEL,VENOCEL,Fitoterápico,CIFARMA CIENTÍFICA FARMACÊUTICA LTDA,2,nao
VENOCUR FIT,VENOCUR FIT,Fitoterápico,ABBOTT LABORATORIOS DO BRASIL LTDA,2,nao
VENOXIDE,VENOXIDE,Específico,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A,6,nao
VENSATE LP,VENSATE LP,Similar,CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.,5,nao
VENTAVIS,VENTAVIS,Novo,BAYER S.A.,1,nao
VENTUS,VENTUS,Similar,EUROFARMA LABORATORIOS S.A.,2,nao
VÊNULA,VENULA,Específico,BIOLAB SANUS FARMACEUTICA LTDA,2,nao
VENVANSE,VENVANSE,Novo,TAKEDA PHARMA LTDA.,3,nao
VENZER,VENZER,Similar,LIBBS FARMACÊUTICA LTDA,9,nao
VENZER HCT,VENZER HCT,Similar,LIBBS FARMACÊUTICA LTDA,8,nao
VEQUILE,VEQUILE,Similar,SANDOZ DO BRASIL INDÚSTRIA FARMACÊUTICA LTDA,1,nao
VERAZO,VERAZO,Similar,LIBBS FARMACÊUTICA LTDA,3,nao
VEROTINA,VEROTINA,Similar,LIBBS FARMACÊUTICA LTDA,1,nao
VERSA,VERSA,Biológico,EUROFARMA LABORATORIOS S.A.,6,nao
VERTIGIUM,VERTIGIUM,Similar,BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A,1,nao
VERTIX,VERTIX,Similar,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A,3,nao
VERTIZAN,VERTIZAN,Similar,VITAMEDIC INDUSTRIA FARMACEUTICA LTDA,1,nao
VERTIZINE D,VERTIZINE D,Similar,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A,2,nao
VERUTEX,VERUTEX,Novo,LEO PHARMA LTDA,3,nao
VERUTEX B,VERUTEX B,Novo,LEO PHARMA LTDA,2,nao
VERZENIOS,VERZENIOS,Novo,ELI LILLY DO BRASIL LTDA,6,nao
VESANOID,VESANOID,Novo,BIOPAS BRASIL PRODUTOS FARMACEUTICOS LTDA | FARMOQUÍMICA S/A,2,nao
VESICARE,VESICARE,Novo,ASTELLAS FARMA BRASIL IMPORTAÇÃO E DISTRIBUIÇÃO DE MEDICAMENTOS LTDA.,4,nao
VESOMNI,VESOMNI,Novo,ASTELLAS FARMA BRASIL IMPORTAÇÃO E DISTRIBUIÇÃO DE MEDICAMENTOS LTDA.,2,nao
VEVASO,VEVASO,Específico,MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA,9,nao
